OUTPUT FOR RE-WEIGHTED WEIGHTS:

output for rbf kernel for all c and gamma :

c= 2 ;gamma= 2 ;score= 0.7297297297297297
c= 2 ;gamma= 8 ;score= 0.7419354838709677
c= 2 ;gamma= 32 ;score= 0.5806451612903226
c= 2 ;gamma= 16 ;score= 0.6285714285714286
c= 2 ;gamma= 64 ;score= 0.5483870967741935
c= 2 ;gamma= 128 ;score= 0.42857142857142855
c= 2 ;gamma= 16 ;score= 0.6285714285714286
c= 4 ;gamma= 3.0517578125e-05 ;score= 0.34285714285714286
c= 4 ;gamma= 0.0001220703125 ;score= 0.34285714285714286
c= 4 ;gamma= 0.00048828125 ;score= 0.48484848484848486
c= 4 ;gamma= 0.001953125 ;score= 0.4864864864864865
c= 4 ;gamma= 0.0078125 ;score= 0.5675675675675675
c= 4 ;gamma= 0.03125 ;score= 0.5945945945945946
c= 4 ;gamma= 0.125 ;score= 0.6756756756756757
c= 4 ;gamma= 0.5 ;score= 0.7297297297297297
c= 4 ;gamma= 2 ;score= 0.7096774193548387
c= 4 ;gamma= 8 ;score= 0.7741935483870968
c= 4 ;gamma= 32 ;score= 0.5483870967741935
c= 4 ;gamma= 16 ;score= 0.6857142857142857
c= 4 ;gamma= 64 ;score= 0.5483870967741935
c= 4 ;gamma= 128 ;score= 0.41935483870967744
c= 4 ;gamma= 16 ;score= 0.6857142857142857
c= 8 ;gamma= 3.0517578125e-05 ;score= 0.34285714285714286
c= 8 ;gamma= 0.0001220703125 ;score= 0.34285714285714286
c= 8 ;gamma= 0.00048828125 ;score= 0.5151515151515151
c= 8 ;gamma= 0.001953125 ;score= 0.4864864864864865
c= 8 ;gamma= 0.0078125 ;score= 0.5675675675675675
c= 8 ;gamma= 0.03125 ;score= 0.7027027027027027
c= 8 ;gamma= 0.125 ;score= 0.7297297297297297
c= 8 ;gamma= 0.5 ;score= 0.7297297297297297
c= 8 ;gamma= 2 ;score= 0.7741935483870968
c= 8 ;gamma= 8 ;score= 0.7096774193548387
c= 8 ;gamma= 32 ;score= 0.5483870967741935
c= 8 ;gamma= 16 ;score= 0.6857142857142857
c= 8 ;gamma= 64 ;score= 0.5483870967741935
c= 8 ;gamma= 128 ;score= 0.41935483870967744
c= 8 ;gamma= 16 ;score= 0.6857142857142857
c= 16 ;gamma= 3.0517578125e-05 ;score= 0.34285714285714286
c= 16 ;gamma= 0.0001220703125 ;score= 0.48484848484848486
c= 16 ;gamma= 0.00048828125 ;score= 0.4864864864864865
c= 16 ;gamma= 0.001953125 ;score= 0.5945945945945946
c= 16 ;gamma= 0.0078125 ;score= 0.5757575757575758
c= 16 ;gamma= 0.03125 ;score= 0.7297297297297297
c= 16 ;gamma= 0.125 ;score= 0.7297297297297297
c= 16 ;gamma= 0.5 ;score= 0.7567567567567568
c= 16 ;gamma= 2 ;score= 0.7741935483870968
c= 16 ;gamma= 8 ;score= 0.7096774193548387
c= 16 ;gamma= 32 ;score= 0.5483870967741935
c= 16 ;gamma= 16 ;score= 0.6857142857142857
c= 16 ;gamma= 64 ;score= 0.5483870967741935
c= 16 ;gamma= 128 ;score= 0.41935483870967744
c= 16 ;gamma= 16 ;score= 0.6857142857142857
c= 32 ;gamma= 3.0517578125e-05 ;score= 0.34285714285714286
c= 32 ;gamma= 0.0001220703125 ;score= 0.5151515151515151
c= 32 ;gamma= 0.00048828125 ;score= 0.4864864864864865
c= 32 ;gamma= 0.001953125 ;score= 0.6486486486486487
c= 32 ;gamma= 0.0078125 ;score= 0.6060606060606061
c= 32 ;gamma= 0.03125 ;score= 0.7297297297297297
