Output for one vs all :

output for rbf:

c= 256 ;gamma= 0.0078125 ;score= 0.7419354838709677
c= 256 ;gamma= 0.03125 ;score= 0.7297297297297297
c= 256 ;gamma= 0.125 ;score= 0.7297297297297297
c= 256 ;gamma= 0.5 ;score= 0.7428571428571429
c= 256 ;gamma= 2 ;score= 0.7297297297297297
c= 256 ;gamma= 8 ;score= 0.7419354838709677
c= 256 ;gamma= 32 ;score= 0.5714285714285714
c= 256 ;gamma= 16 ;score= 0.6857142857142857
c= 256 ;gamma= 64 ;score= 0.5806451612903226
c= 256 ;gamma= 128 ;score= 0.42857142857142855
c= 256 ;gamma= 16 ;score= 0.6857142857142857
c= 512 ;gamma= 3.0517578125e-05 ;score= 0.6451612903225806
c= 512 ;gamma= 0.0001220703125 ;score= 0.6285714285714286
c= 512 ;gamma= 0.00048828125 ;score= 0.6774193548387096
c= 512 ;gamma= 0.001953125 ;score= 0.7419354838709677
c= 512 ;gamma= 0.0078125 ;score= 0.7096774193548387
c= 512 ;gamma= 0.03125 ;score= 0.7096774193548387
c= 512 ;gamma= 0.125 ;score= 0.7567567567567568
c= 512 ;gamma= 0.5 ;score= 0.7142857142857143
c= 512 ;gamma= 2 ;score= 0.7297297297297297
c= 512 ;gamma= 8 ;score= 0.7419354838709677
c= 512 ;gamma= 32 ;score= 0.5714285714285714
c= 512 ;gamma= 16 ;score= 0.6857142857142857
c= 512 ;gamma= 64 ;score= 0.5806451612903226
c= 512 ;gamma= 128 ;score= 0.42857142857142855
c= 512 ;gamma= 16 ;score= 0.6857142857142857
c= 1024 ;gamma= 3.0517578125e-05 ;score= 0.6285714285714286
c= 1024 ;gamma= 0.0001220703125 ;score= 0.6285714285714286
c= 1024 ;gamma= 0.00048828125 ;score= 0.6486486486486487
c= 1024 ;gamma= 0.001953125 ;score= 0.7419354838709677
c= 1024 ;gamma= 0.0078125 ;score= 0.7741935483870968
c= 1024 ;gamma= 0.03125 ;score= 0.6774193548387096
c= 1024 ;gamma= 0.125 ;score= 0.7714285714285715
c= 1024 ;gamma= 0.5 ;score= 0.7027027027027027
c= 1024 ;gamma= 2 ;score= 0.7297297297297297
c= 1024 ;gamma= 8 ;score= 0.7419354838709677
c= 1024 ;gamma= 32 ;score= 0.5714285714285714
c= 1024 ;gamma= 16 ;score= 0.6857142857142857
c= 1024 ;gamma= 64 ;score= 0.5806451612903226
c= 1024 ;gamma= 128 ;score= 0.42857142857142855
c= 1024 ;gamma= 16 ;score= 0.6857142857142857

optimal hyperparameter are: c= 2 gamma= 8 accuracy= 0.8064516129032258
overall accuracy for rbf 0.627906976744186

output for linear:

c= 0.03125 score= 0.5430254370952046
c= 0.0625 score= 0.5519839591932616
c= 0.125 score= 0.5531048021745696
c= 0.25 score= 0.5626188798281822
c= 0.5 score= 0.5951174536058257
c= 1 score= 0.6042494714587737
c= 2 score= 0.6136841840330213
c= 4 score= 0.6087949260042282
c= 8 score= 0.6128209000302023
c= 16 score= 0.6178905332393704
c= 32 score= 0.6408389543273263
c= 64 score= 0.6538187523071244
c= 128 score= 0.6677722406792175
c= 256 score= 0.6727722406792174
c= 512 score= 0.6773274270948689
c= 1024 score= 0.6678133494412564

optimal hyperparameter are: c= 64 accuracy= 0.75
overall accuracy for linear 0.6046511627906976

output for poly:

degree= 1 c= 0.03125 ;score= 0.6451612903225806
degree= 1 c= 0.0625 ;score= 0.6451612903225806
degree= 1 c= 0.125 ;score= 0.6129032258064516
degree= 1 c= 0.25 ;score= 0.6129032258064516
degree= 1 c= 0.5 ;score= 0.6129032258064516
degree= 1 c= 2 ;score= 0.6451612903225806
degree= 1 c= 4 ;score= 0.6285714285714286
degree= 1 c= 16 ;score= 0.6285714285714286
degree= 1 c= 8 ;score= 0.6285714285714286
degree= 2 c= 0.03125 ;score= 0.6285714285714286
degree= 2 c= 0.0625 ;score= 0.6571428571428571
degree= 2 c= 0.125 ;score= 0.6285714285714286
degree= 2 c= 0.25 ;score= 0.6285714285714286
degree= 2 c= 0.5 ;score= 0.6571428571428571
degree= 2 c= 2 ;score= 0.6774193548387096
degree= 2 c= 4 ;score= 0.6774193548387096
degree= 2 c= 16 ;score= 0.8064516129032258
degree= 2 c= 8 ;score= 0.7741935483870968
degree= 3 c= 0.03125 ;score= 0.7419354838709677
degree= 3 c= 0.0625 ;score= 0.8064516129032258
degree= 3 c= 0.125 ;score= 0.8064516129032258
degree= 3 c= 0.25 ;score= 0.7419354838709677
degree= 3 c= 0.5 ;score= 0.7419354838709677
degree= 3 c= 2 ;score= 0.7741935483870968
degree= 3 c= 4 ;score= 0.7567567567567568
degree= 3 c= 16 ;score= 0.7419354838709677
degree= 3 c= 8 ;score= 0.7567567567567568
degree= 4 c= 0.03125 ;score= 0.7741935483870968
degree= 4 c= 0.0625 ;score= 0.8064516129032258
degree= 4 c= 0.125 ;score= 0.7419354838709677
